Date,Open,High,Low,Close,Volume,Adj Close
2005-10-03,4.558,4.812,4.553,4.755,000,4.755
2005-09-01,4.283,4.594,4.253,4.568,000,4.568
2005-08-01,4.491,4.618,4.254,4.261,000,4.261
2005-07-01,4.208,4.51,4.205,4.474,23600,4.474
2005-06-01,4.308,4.495,4.151,4.219,000,4.219
2005-05-02,4.50,4.667,4.334,4.347,22500,4.347
2005-04-01,4.754,4.825,4.469,4.519,30000,4.519
2005-03-01,4.709,4.931,4.607,4.766,91200,4.766
2005-02-01,4.573,4.732,4.351,4.706,164000,4.706
2005-01-03,4.856,4.902,4.589,4.59,23600,4.59
2004-12-01,5.004,5.066,4.703,4.822,000,4.822
2004-11-01,4.813,5.034,4.789,5.012,000,5.012
2004-10-01,4.922,5.009,4.731,4.794,000,4.794
2004-09-01,4.91,5.062,4.757,4.891,000,4.891
2004-08-02,5.174,5.205,4.914,4.938,000,4.938
2004-07-01,5.306,5.352,5.108,5.205,000,5.205
2004-06-01,5.371,5.536,5.287,5.313,000,5.313
2004-05-03,5.306,5.597,5.25,5.348,000,5.348
2004-04-01,4.779,5.338,4.777,5.282,000,5.282
2004-03-01,4.848,4.951,4.62,4.777,000,4.777
2004-02-02,4.99,5.013,4.856,4.857,000,4.857
2004-01-02,5.093,5.219,4.803,4.965,000,4.965
2003-12-01,5.131,5.214,4.929,5.068,000,5.068
2003-11-03,5.155,5.298,4.975,5.126,000,5.126
2003-10-01,4.888,5.331,4.873,5.145,000,5.145
2003-09-02,5.281,5.369,4.884,4.884,000,4.884
2003-08-01,5.484,5.495,5.145,5.224,000,5.224
2003-07-01,4.55,5.445,4.526,5.41,000,5.41
2003-06-02,4.405,4.624,4.135,4.566,000,4.566
2003-05-01,4.762,4.85,4.229,4.362,000,4.362
2003-04-01,4.816,5.056,4.777,4.778,000,4.778
2003-03-03,4.688,5.043,4.603,4.837,000,4.837
2003-02-03,4.87,4.916,4.673,4.676,000,4.676
2003-01-02,4.826,5.094,4.804,4.847,000,4.847
2002-12-02,5.147,5.157,4.709,4.783,000,4.783
2002-11-01,5.003,5.13,4.722,5.048,000,5.048
2002-10-01,4.706,5.214,4.631,5.007,000,5.007
2002-09-03,4.881,4.92,4.606,4.662,000,4.662
2002-08-01,5.311,5.33,4.827,4.937,000,4.937
2002-07-01,5.508,5.558,5.178,5.305,000,5.305
2002-06-03,5.637,5.677,5.32,5.517,000,5.517
2002-05-01,5.587,5.775,5.523,5.612,000,5.612
2002-04-01,5.805,5.857,5.576,5.594,000,5.594
2002-03-01,5.429,5.86,5.424,5.815,000,5.815
2002-02-01,5.439,5.507,5.317,5.409,000,5.409
2002-01-02,5.494,5.629,5.313,5.426,000,5.426
2001-12-03,5.267,5.715,5.197,5.478,000,5.478
2001-11-01,4.812,5.404,4.662,5.265,000,5.265
2001-10-01,5.415,5.447,4.833,4.873,000,4.873
2001-09-04,5.385,5.633,5.347,5.415,000,5.415
2001-08-01,5.524,5.617,5.339,5.368,000,5.368
2001-07-02,5.75,5.771,5.502,5.502,000,5.502
2001-06-01,5.754,5.773,5.567,5.736,000,5.736
2001-05-01,5.779,5.901,5.564,5.779,000,5.779
2001-04-02,5.441,5.818,5.432,5.772,000,5.772
2001-03-01,5.287,5.503,5.217,5.453,000,5.453
2001-02-01,5.48,5.572,5.329,5.337,000,5.337
2001-01-02,5.433,5.689,5.307,5.536,000,5.536
2000-12-01,5.627,5.674,5.379,5.459,000,5.459
2000-11-01,5.773,5.923,5.572,5.586,000,5.586
2000-10-02,5.869,5.947,5.679,5.784,000,5.784
2000-09-01,5.67,5.976,5.631,5.869,000,5.869
2000-08-01,5.774,5.799,5.633,5.674,000,5.674
2000-07-03,5.898,5.939,5.747,5.78,000,5.78
2000-06-01,6.012,6.038,5.807,5.881,000,5.881
2000-05-01,5.969,6.25,5.945,6.017,000,6.017
2000-04-03,5.827,6.019,5.624,5.962,000,5.962
2000-03-01,6.124,6.196,5.829,5.846,000,5.846
2000-02-01,6.473,6.488,6.052,6.133,000,6.133
2000-01-03,6.537,6.753,6.37,6.491,000,6.491
1999-12-01,6.321,6.487,6.156,6.477,000,6.477
1999-11-01,6.161,6.314,5.986,6.281,000,6.281
1999-10-01,6.086,6.398,6.086,6.149,000,6.149
1999-09-01,6.07,6.145,5.94,6.056,000,6.056
1999-08-02,6.099,6.272,5.854,6.066,000,6.066
1999-07-01,6.001,6.122,5.851,6.104,000,6.104
1999-06-01,5.849,6.191,5.842,5.988,000,5.988
1999-05-03,5.68,5.94,5.646,5.823,000,5.823
1999-04-01,5.612,5.687,5.406,5.673,000,5.673
1999-03-01,5.589,5.719,5.439,5.621,000,5.621
1999-02-01,5.102,5.657,5.102,5.553,000,5.553
1999-01-04,5.066,5.353,5.06,5.086,000,5.086
1998-12-01,5.058,5.229,4.925,5.084,000,5.084
1998-11-02,5.179,5.417,5.068,5.07,000,5.07
1998-10-01,4.908,5.225,4.69,5.143,000,5.143
1998-09-01,5.307,5.365,4.974,4.976,000,4.976
1998-08-03,5.705,5.705,5.289,5.291,000,5.291
1998-07-01,5.632,5.781,5.566,5.717,000,5.717
1998-06-01,5.772,5.843,5.595,5.618,000,5.618
1998-05-01,5.922,6.041,5.78,5.80,000,5.80
1998-04-01,5.929,6.09,5.732,5.946,000,5.946
1998-03-02,5.942,6.09,5.828,5.937,000,5.937
1998-02-02,5.816,6.011,5.777,5.918,000,5.918
1998-01-02,5.92,5.977,5.662,5.805,000,5.805
1997-12-01,6.03,6.157,5.851,5.925,000,5.925
1997-11-03,6.189,6.258,6.007,6.036,000,6.036
1997-10-01,6.379,6.472,6.093,6.144,000,6.144
1997-09-02,6.623,6.69,6.307,6.407,000,6.407
1997-08-01,6.279,6.759,6.274,6.601,000,6.601
1997-07-01,6.787,6.799,6.285,6.294,000,6.294
1997-06-02,6.898,6.931,6.629,6.794,000,6.794
1997-05-01,6.946,7.064,6.849,6.913,000,6.913
1997-04-01,7.098,7.184,6.915,6.951,000,6.951
1997-03-03,6.827,7.101,6.799,7.101,000,7.101
1997-02-03,6.781,6.832,6.499,6.787,000,6.787
1997-01-02,6.632,6.962,6.613,6.797,000,6.797
1996-12-02,6.368,6.694,6.308,6.635,000,6.635
1996-11-01,6.621,6.695,6.352,6.352,000,6.352
1996-10-01,6.923,6.926,6.626,6.65,000,6.65
1996-09-03,7.152,7.216,6.836,6.923,000,6.923
1996-08-01,6.955,7.133,6.668,7.107,000,7.107
1996-07-01,6.909,7.232,6.898,6.966,000,6.966
1996-06-03,7.022,7.208,6.873,6.898,000,6.898
1996-05-01,6.921,7.117,6.764,6.991,000,6.991
1996-04-01,6.661,6.992,6.609,6.877,000,6.877
1996-03-01,6.423,6.809,6.33,6.679,000,6.679
1996-02-01,6.042,6.543,6.005,6.492,000,6.492
1996-01-02,5.953,6.185,5.918,6.023,000,6.023
1995-12-01,6.125,6.241,5.949,5.949,000,5.949
1995-11-01,6.335,6.368,6.117,6.132,000,6.132
1995-10-02,6.484,6.498,6.264,6.317,000,6.317
1995-09-01,6.652,6.714,6.43,6.482,000,6.482
1995-08-01,6.855,7.005,6.628,6.645,000,6.645
1995-07-03,6.628,6.972,6.449,6.855,000,6.855
1995-06-01,6.662,6.744,6.427,6.624,000,6.624
1995-05-01,7.338,7.351,6.644,6.644,000,6.644
1995-04-03,7.443,7.443,7.28,7.333,000,7.333
1995-03-01,7.47,7.659,7.276,7.43,000,7.43
1995-02-01,7.676,7.766,7.445,7.445,000,7.445
1995-01-03,7.882,7.956,7.69,7.69,000,7.69
1994-12-01,7.994,8.061,7.742,7.87,000,7.87
1994-11-01,7.994,8.174,7.928,7.977,000,7.977
1994-10-03,7.825,8.072,7.794,7.962,000,7.962
1994-09-01,7.452,7.872,7.364,7.819,000,7.819
1994-08-01,7.403,7.683,7.335,7.441,000,7.441
1994-07-01,7.591,7.741,7.373,7.379,000,7.379
1994-06-01,7.456,7.615,7.18,7.612,000,7.612
1994-05-02,7.311,7.65,7.219,7.435,000,7.435
